Country/Region,Province/State,Latitude,Longitude,Confirmed,Recovered,Deaths,Date,All
China,Anhui,25.835101007567584,106.06040258162082,1.0,,,2020-01-22,1
China,Beijing,22.49454974639842,112.72115881395136,14.0,,,2020-01-22,1
China,Chongqing,32.94152543189145,97.96455812056568,6.0,,,2020-01-22,1
China,Fujian,24.365267095311935,106.55223840419455,1.0,,,2020-01-22,1
China,Gansu,52.01471671814944,122.51676874121301,,,,2020-01-22,1
China,Guangdong,27.36145213722589,117.4143316096041,26.0,,,2020-01-22,1
China,Guangxi,30.85699016401348,98.26672323046492,2.0,,,2020-01-22,1
China,Guizhou,26.458105710304284,100.33654162704289,1.0,,,2020-01-22,1
China,Hainan,39.21080184810773,99.48756721866648,4.0,,,2020-01-22,1
China,Hebei,31.18302769293157,80.83569157483024,1.0,,,2020-01-22,1
China,Heilongjiang,46.336492700241934,128.53493793671583,,,,2020-01-22,1
China,Henan,39.429948262111395,79.28137822331313,5.0,,,2020-01-22,1
Hong Kong,Hong Kong,22.5141635163479,114.24042245986212,,,,2020-01-22,1
China,Hubei,40.689771661105,120.3847205996567,444.0,28.0,17.0,2020-01-22,1
China,Hunan,47.749736275397126,119.4295896909245,4.0,,,2020-01-22,1
China,Inner Mongolia,30.8447818513535,101.50671756893375,,,,2020-01-22,1
China,Jiangsu,28.982216047267123,99.82906632275837,1.0,,,2020-01-22,1
China,Jiangxi,27.263730284222216,98.94605392442566,2.0,,,2020-01-22,1
China,Jilin,36.74594744738323,115.93406639468054,,,,2020-01-22,1
China,Liaoning,28.48530079106514,87.88134400267997,2.0,,,2020-01-22,1
Macau,Macau,22.1667,113.55,1.0,,,2020-01-22,1
China,Ningxia,37.89527842628035,76.60437712660412,1.0,,,2020-01-22,1
China,Qinghai,48.215208339667186,125.63223548143188,,,,2020-01-22,1
China,Shaanxi,45.307983327248294,118.56695417530412,,,,2020-01-22,1
China,Shandong,32.84229426663207,110.02172048981026,2.0,,,2020-01-22,1
China,Shanghai,47.600324037130214,119.33546825859663,9.0,,,2020-01-22,1
China,Shanxi,24.545651539931477,117.46384690521552,1.0,,,2020-01-22,1
China,Sichuan,43.761325594537766,128.53469347463098,5.0,,,2020-01-22,1
Taiwan,Taiwan,23.110303907804155,120.47514596350315,1.0,,,2020-01-22,1
China,Tianjin,44.558623004476395,121.47371596245057,4.0,,,2020-01-22,1
China,Tibet,45.29342218024406,118.35912420696881,,,,2020-01-22,1
US,Washington,35.20926420523555,-94.31395110389303,1.0,,,2020-01-22,1
China,Xinjiang,33.395890798230724,88.5183413561299,,,,2020-01-22,1
China,Yunnan,37.556988836963114,97.63546347617141,1.0,,,2020-01-22,1
China,Zhejiang,26.506393150742227,102.27163759090728,10.0,,,2020-01-22,1
Japan,,35.41019270286958,138.27925847729713,2.0,,,2020-01-22,1
Thailand,,17.090358515026548,99.26864366232064,2.0,,,2020-01-22,1
South Korea,,37.79597654785754,127.68394727453426,1.0,,,2020-01-22,1
China,Anhui,25.925202895150687,116.39332131499773,9.0,,,2020-01-23,1
China,Beijing,30.323605925926568,114.98921536579424,22.0,,,2020-01-23,1
China,Chongqing,42.36894651130749,89.45858955477223,9.0,,,2020-01-23,1
China,Fujian,42.38445593882227,89.75326654117204,5.0,,,2020-01-23,1
China,Gansu,19.793537330081126,109.17213833915466,2.0,,,2020-01-23,1
China,Guangdong,34.30387270584949,86.82324714331087,32.0,2.0,,2020-01-23,1
China,Guangxi,39.77871919775602,108.08649541614436,5.0,,,2020-01-23,1
China,Guizhou,41.67519364697549,111.99190170306815,3.0,,,2020-01-23,1
China,Hainan,39.47796488180063,74.81253144414146,5.0,,,2020-01-23,1
China,Hebei,28.796763540803195,100.72606292632389,1.0,,1.0,2020-01-23,1
China,Heilongjiang,21.681680712810945,111.4229481201556,2.0,,,2020-01-23,1
China,Henan,36.892709403888055,85.83929601197028,5.0,,,2020-01-23,1
Hong Kong,Hong Kong,22.41641112122198,113.98809046310826,2.0,,,2020-01-23,1
China,Hubei,38.45784590019296,99.29632055271777,444.0,28.0,17.0,2020-01-23,1
China,Hunan,32.94835000354342,88.34955683222029,9.0,,,2020-01-23,1
China,Inner Mongolia,33.58311083151781,102.73390508134717,,,,2020-01-23,1
China,Jiangsu,37.8227722729912,93.75658476604235,5.0,,,2020-01-23,1
China,Jiangxi,39.37272482704677,79.60145041000432,7.0,,,2020-01-23,1
China,Jilin,32.94980626856149,110.6720574449697,1.0,,,2020-01-23,1
China,Liaoning,40.678368151635496,96.29933507520805,3.0,,,2020-01-23,1
Macau,Macau,22.1667,113.55,2.0,,,2020-01-23,1
China,Ningxia,35.38909927192147,89.7489284535717,1.0,,,2020-01-23,1
China,Qinghai,41.20776092904389,119.69907135129853,,,,2020-01-23,1
China,Shaanxi,45.152421165163624,84.15206976889768,3.0,,,2020-01-23,1
China,Shandong,44.22945970021004,117.33743072962787,6.0,,,2020-01-23,1
China,Shanghai,25.200379035045493,111.70945708197084,16.0,,,2020-01-23,1
China,Shanxi,31.40398690249686,120.03796273780513,1.0,,,2020-01-23,1
China,Sichuan,29.707381797578087,104.01591065605399,8.0,,,2020-01-23,1
Taiwan,Taiwan,22.83107519026779,120.26208591201177,1.0,,,2020-01-23,1
China,Tianjin,39.26359745510166,74.09188357505202,4.0,,,2020-01-23,1
China,Tibet,51.5378600575003,120.77490007505556,,,,2020-01-23,1
US,Washington,57.05179005592337,-132.97638911431903,1.0,,,2020-01-23,1
China,Xinjiang,34.80432827923699,110.83585790071959,2.0,,,2020-01-23,1
China,Yunnan,25.312654004562276,100.35174065268409,2.0,,,2020-01-23,1
China,Zhejiang,37.4928407059283,97.11222755618893,27.0,,,2020-01-23,1
Japan,,43.82237527695548,144.37473418109545,1.0,,,2020-01-23,1
Thailand,,15.399043614563208,99.31310328909105,3.0,,,2020-01-23,1
South Korea,,37.7320658750266,127.4995838555698,1.0,,,2020-01-23,1
Singapore,,1.4420606094657697,103.82219630985085,1.0,,,2020-01-23,1
Philippines,,7.55395245527808,124.23768762872578,,,,2020-01-23,1
Malaysia,,4.9424308624978925,101.39192826362735,,,,2020-01-23,1
Vietnam,,18.21055331287173,106.19784965810993,2.0,,,2020-01-23,1
Australia,,-32.17477923660972,145.076257450291,,,,2020-01-23,1
